aa_player,aa_player_id,aa_player_team_id,aa_team,aa_team_id,action_area,action_area_id,action_area_injurytime_play,time_slice_id,time_slice_name,competition,kickoff,match_id
1,544,49,1,49,"
            ",6,,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934
2,10955,49,3,49,"
            ",16,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
1,1174,49,4,49,"
            ",15,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,1,49,"
            ",7,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,2,309,"
            ",13,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
3,11309,309,2,309,"
            ",9,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,3,309,"
            ",10,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,1,49,"
            ",14,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,1,309,"
            ",17,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
1,729,49,2,49,"
            ",8,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
1,15004,309,1,309,"
            ",12,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,1,49,"
            ",6,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
1,10955,49,1,49,"
            ",11,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,1,309,"
            ",18,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
2,729,49,2,49,"
            ",2,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
1,8088,309,1,309,"
            ",3,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
1,15280,309,1,309,"
            ",1,,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934
1,9470,49,1,49,"
            ",9,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,2,49,"
            ",8,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,20871,309,3,309,"
            ",10,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,1174,49,3,49,"
            ",15,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,7969,309,4,309,"
            ",16,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,1,309,"
            ",11,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,7969,309,3,309,"
            ",17,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
2,15004,309,2,309,"
            ",12,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,1,49,"
            ",6,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,1,49,"
            ",18,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,82,49,1,49,"
            ",7,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,10803,309,2,309,"
            ",2,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,905,49,1,49,"
            ",4,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,1,49,"
            ",5,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,2948,49,1,49,"
            ",1,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,729,49,1,49,"
            ",3,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,1,49,"
            ",14,,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934
2,729,49,5,49,"
            ",3,,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
1,10803,309,2,309,"
            ",4,,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,3,49,"
            ",11,,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
1,15004,309,1,309,"
            ",12,,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,3,49,"
            ",15,,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
1,15004,309,2,309,"
            ",17,,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
1,15004,309,1,309,"
            ",18,,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
1,87,49,5,49,"
            ",16,,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,2,49,"
            ",14,,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,6,309,"
            ",10,,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,1,49,"
            ",5,,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
1,12372,309,1,309,"
            ",6,,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,1,49,"
            ",9,,15,70 - 75,data/epl,2017-09-11 20:00:00 +0100,32934
1,23637,309,1,309,"
            ",18,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
2,925,49,2,49,"
            ",7,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,4,309,"
            ",13,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
