ap_itp_result,ap_itp_result_assists,ap_itp_result_completed,ap_itp_result_failed,ap_itp_result_headed,ap_itp_result_longball,ap_itp_result_team_id,ap_itp_result_through_ball,ap_itp_result_throw_ins,ap_result,ap_result_assists,ap_result_completed,ap_result_failed,ap_result_headed,ap_result_longball,ap_result_team_id,ap_result_through_ball,ap_result_throw_ins,assists,event,event_a,event_action_type,event_injurytime_play,event_k,event_mins,event_minsec,event_player_id,event_secs,event_team_id,event_throw_ins,event_type,headed,long_ball,time_slice_id,time_slice_name,competition,kickoff,match_id,end_x,end_y,start_x,start_y
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,8,482,544,2,49,0,failed,,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,51.3,30.4,16.3,5.5
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,7,479,2074,59,309,1,failed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,86.2,91.2,81.7,100
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,7,458,8088,38,309,0,failed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,80.5,90.5,77.1,94.2
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,7,445,11309,25,309,0,failed,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,47.4,65.2,43.6,65.1
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,7,444,905,24,49,0,failed,true,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,64.0,34.0,39.5,36.6
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,7,441,2074,21,309,0,failed,,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,58.1,68.4,22.9,96
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,7,435,87,15,49,0,failed,true,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,67.8,41.9,67.7,41.2
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,6,416,7969,56,309,0,failed,,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,79.4,22.8,37.1,25
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,6,373,87,13,49,0,failed,true,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,85.5,25.8,76.5,41.6
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,5,309,9470,9,49,0,failed,true,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,70.8,42.7,63.4,46.9
